# format_version=1
# run_id=8:26921:243953
# id=8
# s=26921
# p=243953
# N=6567458713
# sqrtN=81039
# Nmin=1
# Mmax=500
# W=1
# depth=4
# timelimit_sec=200
# status=OK_ROOTS
# roots_found=38
# fractions_tested=63873
# unique_fractions=63873
# build_time_sec=0.000000
# search_time_sec=4.839604
# total_time_sec=4.839608
# stopped_reason=completed
# error_message=
run_id root_idx x0 root_x triplet_x0 triplet_x2 aF bF loop_i loop_dx offset frac_n frac_d level interval_L interval_R parent_L parent_R interval_examined_L interval_examined_R examined_pct frac_path
8:26921:243953 0 4138 243953/59 4137 4141 26279440278/68525268 -217501427703210/68525268 2 4139 2 2 767 1 1/384 1/383 1/384 1/383 4134 4141 0.009872 -
8:26921:243953 1 4138 53842/13 4137 4141 26279440278/68525268 -217501427703210/68525268 2 4139 2 2 767 1 1/384 1/383 1/384 1/383 4134 4141 0.009872 -
8:26921:243953 2 4245 487906/115 4243 4249 39392287795/108171042 -334572185566171/108171042 2 4246 3 3 1093 2 1/364 3/1093 1/365 1/364 4241 4250 0.012340 -
8:26921:243953 3 4245 80763/19 4243 4249 39392287795/108171042 -334572185566171/108171042 2 4246 3 3 1093 2 1/364 3/1093 1/365 1/364 4241 4250 0.012340 -
8:26921:243953 4 4139 243953/59 4135 4141 39400103535/102738210 -326094417531825/102738210 0 4138 3 3 1150 2 1/383 3/1150 1/384 1/383 4134 4141 0.009872 -
8:26921:243953 5 4139 53842/13 4135 4141 39400103535/102738210 -326094417531825/102738210 0 4138 3 3 1150 2 1/383 3/1150 1/384 1/383 4134 4141 0.009872 -
8:26921:243953 6 4608 243953/53 4603 4615 78810954950/254914140 -726472457561630/254914140 0 4609 6 6 1855 3 1/309 5/1546 1/309 3/928 4602 4615 0.017276 -
8:26921:243953 7 4608 161526/35 4603 4615 78810954950/254914140 -726472457561630/254914140 0 4609 6 6 1855 3 1/309 5/1546 1/309 3/928 4602 4615 0.017276 -
8:26921:243953 8 3865 26921/7 3846 3872 170748369792/387184512 -1317857213202816/387184512 0 3859 13 13 5715 3 5/2198 8/3517 2/879 3/1319 3845 3884 0.049359 -
8:26921:243953 9 3865 243953/63 3846 3872 170748369792/387184512 -1317857213202816/387184512 0 3859 13 13 5715 3 5/2198 8/3517 2/879 3/1319 3845 3884 0.049359 -
8:26921:243953 10 17924 6098825/341 17889 17939 328291718733/16045538550 -11763480759967737/16045538550 2 17914 25 25 511 4 16/327 9/184 7/143 2/41 17876 17976 0.124631 -
8:26921:243953 11 17924 53842/3 17889 17939 328291718733/16045538550 -11763480759967737/16045538550 2 17914 25 25 511 4 16/327 9/184 7/143 2/41 17876 17976 0.124631 -
8:26921:243953 12 15231 349973/23 15217 15243 170717210016/6030771006 -5200600120208988/6030771006 0 15230 13 13 368 4 10/283 13/368 7/198 3/85 15216 15247 0.039487 -
8:26921:243953 13 15231 243953/16 15217 15243 170717210016/6030771006 -5200600120208988/6030771006 0 15230 13 13 368 4 10/283 13/368 7/198 3/85 15216 15247 0.039487 -
8:26921:243953 14 13424 1219765/91 13408 13458 328409652480/9022243200 -8822555695703040/9022243200 21 13433 25 25 911 4 16/583 9/328 7/255 2/73 13382 13465 0.103654 -
8:26921:243953 15 13424 26921/2 13408 13458 328409652480/9022243200 -8822555695703040/9022243200 21 13433 25 25 911 4 16/583 9/328 7/255 2/73 13382 13465 0.103654 -
8:26921:243953 16 7717 53842/7 7692 7744 341496739584/3097476096 -5271427304073216/3097476096 0 7718 26 26 2867 4 15/1654 11/1213 4/441 7/772 7691 7744 0.066635 -
8:26921:243953 17 7717 487906/63 7692 7744 341496739584/3097476096 -5271427304073216/3097476096 0 7718 26 26 2867 4 15/1654 11/1213 4/441 7/772 7691 7744 0.066635 -
8:26921:243953 18 7712 53842/7 7692 7744 341496739584/3097476096 -5271427304073216/3097476096 19 7718 26 26 2871 4 19/2098 7/773 5/552 7/773 7673 7753 0.099952 -
8:26921:243953 19 7712 487906/63 7692 7744 341496739584/3097476096 -5271427304073216/3097476096 19 7718 26 26 2871 4 19/2098 7/773 5/552 7/773 7673 7753 0.099952 -
8:26921:243953 20 7706 53842/7 7692 7744 341496739584/3097476096 -5271427304073216/3097476096 25 7718 26 26 2875 4 7/774 19/2101 7/774 5/553 7665 7746 0.101186 -
8:26921:243953 21 7706 487906/63 7692 7744 341496739584/3097476096 -5271427304073216/3097476096 25 7718 26 26 2875 4 7/774 19/2101 7/774 5/553 7665 7746 0.101186 -
8:26921:243953 22 7415 243953/33 7393 7425 210130499700/1756576800 -3113921679333300/1756576800 2 7409 16 16 1911 4 7/836 16/1911 7/836 2/239 7385 7439 0.067869 -
8:26921:243953 23 7415 215368/29 7393 7425 210130499700/1756576800 -3113921679333300/1756576800 2 7409 16 16 1911 4 7/836 16/1911 7/836 2/239 7385 7439 0.067869 -
8:26921:243953 24 7411 243953/33 7393 7425 210130499700/1756576800 -3113921679333300/1756576800 6 7409 16 16 1913 4 9/1076 16/1913 2/239 7/837 7385 7435 0.062933 -
8:26921:243953 25 7411 215368/29 7393 7425 210130499700/1756576800 -3113921679333300/1756576800 6 7409 16 16 1913 4 9/1076 16/1913 2/239 7/837 7385 7435 0.062933 -
8:26921:243953 26 6989 243953/35 6971 7003 210161115465/1562173216 -2936773706605491/1562173216 6 6987 16 16 2151 4 7/941 16/2151 7/941 2/269 6964 7016 0.065401 -
8:26921:243953 27 6989 861472/123 6971 7003 210161115465/1562173216 -2936773706605491/1562173216 6 6987 16 16 2151 4 7/941 16/2151 7/941 2/269 6964 7016 0.065401 -
8:26921:243953 28 6986 243953/35 6971 7003 210161115465/1562173216 -2936773706605491/1562173216 9 6987 16 16 2153 4 9/1211 16/2153 2/269 7/942 6961 7016 0.069103 -
8:26921:243953 29 6986 861472/123 6971 7003 210161115465/1562173216 -2936773706605491/1562173216 9 6987 16 16 2153 4 9/1211 16/2153 2/269 7/942 6961 7016 0.069103 -
